State,total_renewable_policy_count,Wind_policy_count,Solar_photovoltaic_policy_count
Alabama,37,5,7
Alaska,33,8,9
AmericanSamoa,1,1,1
Arizona,76,25,33
Arkansas,48,4,3
California,255,28,79
Colorado,134,18,47
Connecticut,67,18,27
Delaware,32,12,15
DistrictofColumbia,28,5,8
Federal,41,13,17
FederatedStatesofMicronesia,1,1,1
Florida,104,10,26
Georgia,61,6,13
Guam,4,2,2
Hawaii,29,11,15
Idaho,53,6,8
Illinois,93,13,16
Indiana,89,11,12
Iowa,91,13,14
Kansas,26,5,8
Kentucky,84,11,14
Louisiana,30,4,10
Maine,31,10,11
Maryland,88,17,32
Massachusetts,99,18,27
Michigan,69,16,19
Minnesota,189,18,29
Mississippi,41,4,6
Missouri,79,10,16
Montana,48,13,14
N.MarianaIslands,3,2,2
Nebraska,44,9,9
Nevada,40,14,15
NewHampshire,62,9,10
NewJersey,56,12,19
NewMexico,63,16,25
NewYork,113,16,28
NorthCarolina,102,24,23
NorthDakota,33,7,6
Ohio,74,15,17
Oklahoma,40,10,8
Oregon,148,22,40
Palau,1,1,1
Pennsylvania,68,25,19
PuertoRico,14,12,12
RhodeIsland,46,12,18
SouthCarolina,69,8,14
SouthDakota,51,8,7
Tennessee,51,4,7
Texas,157,30,54
Utah,42,13,17
Vermont,49,13,17
VirginIslands,7,3,4
Virginia,59,16,21
Washington,134,14,22
WestVirginia,14,4,3
Wisconsin,112,16,18
Wyoming,38,3,2
